escenario,etapa,nombre_etapa,tipo_muestra,modelo_calculo,sistema_manejo_ipcc,parametro,valor,unidad,fuente_dato,observaciones,flujo,fuente,formula_origen
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,MCF,38.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,EF3,0.0,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Fraccion de N volatilizado en MMS,0.48,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Fraccion de N lixiviado en MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor efectivo; A2 aplica un valor específico del sistema estudiado,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Nitrogeno total reportado,0.0139377777777777,% N total,muestreos_integracion_interjornada_provisional.csv,Valor de caracterizacion; no usar directamente en ecuaciones de N,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Nitrogeno total como fraccion masica,0.000139377777777777,kg N/kg masa húmeda,muestreos_integracion_interjornada_provisional.csv,A2 incorpora la materia seca gravimétrica; las demás etapas conservan la base analítica vigente,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Solidos volatiles,,% base seca,muestreos_integracion_interjornada_provisional.csv,Parametro para CH4 en etapas solidas,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Materia seca,,% masa húmeda,muestreos_integracion_interjornada_provisional.csv,Fracción de materia seca usada en etapas sólidas,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Masa equivalente total,276851.225181,kg eq/año,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Base de escalamiento por etapa,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,MCF,0.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,EF3,0.0,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Fraccion de N volatilizado en MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,LIQ: PURINES,ipcc,land_application_managed_liquid_slurry,Fraccion de N lixiviado en MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor efectivo; A2 aplica un valor específico del sistema estudiado,,,
A,3,Etapa 3: Almacenamiento de aguas verdes,,,,,53.22916666666667,kWh/año,,Inventariado; proceso de fondo pendiente,Electricidad,Bombeo de agua pluvial para lavado,Parámetros operativos canónicos
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,,,,,182.5,L/año,,Inventariado; proceso de fondo pendiente,Diésel,Tractor y cañón durante la aplicación,Parámetros operativos canónicos
B,1,Etapa 1: Almacenamiento de purines,,,,,53.22916666666667,kWh/año,,Inventariado; proceso de fondo pendiente,Electricidad,Bombeo de agua pluvial para lavado,Parámetros operativos canónicos
B,2,Etapa 2: Aplicación de purines en campo de pastoreo,,,,,182.5,L/año,,Inventariado; proceso de fondo pendiente,Diésel,Tractor y cañón durante la aplicación,Parámetros operativos canónicos
